term_str,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
action,6.619041411671187,0.9406578911751167,0.91023819621824,1.277011279165875,0.05,0.05,3.3774211176465148,0.1539846829711815,1.3825805290813482,0.8491287936219764,14.978032915016929,0.05,0.05,0.05,16.39062764199504,7.545605898146712,15.175669642939184,1.0500000003155912,0.05,0.05
action word,0.05,0.9941137603029331,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05000000029593761,2.172155181160502,0.05,0.05,0.05,0.05000000111054226,0.05000000636547792,1.9837310507322168,0.05,0.05,0.05
actions,2.659930357193016,0.05000000026415886,0.0500315856611739,1.0832042814852676,0.05,2.8991397639508394,0.050000000009177106,0.05,0.05000000036234875,0.05000000014879733,5.778351226792783,0.05,0.05,2.7399867656420627,4.887957637736443,5.5478571858736805,4.803541194668901,0.05,0.050000000180581594,0.05
activities,0.05000000037853053,0.05,0.05000000063129542,0.05,0.05,0.05,3.6981446219573386,0.05,0.05,0.05000000014970894,5.672253022837502,0.05,0.05,0.05,0.05000000006936299,0.06560941704442703,1.7639929366968183,1.0500000002131833,0.05,0.05
activity,0.7332112014825045,0.05,0.05048460053607001,0.05,0.05,0.05,0.05,0.05000000063870217,1.264080003466171,0.05,0.06932053740992417,0.05,0.05,1.0500000000540624,2.0464098899209153,1.0499999999649732,1.1364937664819674,0.05,0.05,0.05
actor,3.5096530379240627,0.05000000126293067,0.05000000011730378,0.05,0.9969318174450654,0.05,2.3678390659652493,0.05,0.05,0.05,5.808304858653527,0.05,0.05000000088737987,2.9224036942879925,1.251374831444632,0.05175327300691893,3.491739418970419,0.05,0.05,0.05
actress,0.0500000009575838,0.050000001248856125,0.05,0.05,0.05,0.05000000120342472,0.05,0.05,0.05,0.05000000019192127,6.456119884129978,0.05,0.05,0.05,0.0500000004188184,1.5311396039785257,2.1627405078459043,0.05,0.05,0.05
acute,0.05000000031309435,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05000000025060829,0.05,0.05,1.0500000000676568,0.050000000387508035,2.987388481848969,1.1126115171117865,0.05,0.05,0.05
addition,1.3277233196273595,0.05000000009571699,0.05,0.05,0.05,0.05,0.05000000024697516,0.05,0.05000000022419193,0.05000000020029441,0.0500000002748082,0.05,0.05,0.05,1.8629073142534969,1.1319256766794563,3.8774436883701875,0.05,0.05,0.05
address,12.874977976715916,3.1924031178748034,0.06976448926171003,0.05000000001489915,0.05,0.05000000045226917,3.7255156451791436,0.05000000000742847,0.052637434046470886,5.2765951465041665,12.431250313784815,0.05,0.05,7.708856057242123,22.183167840685087,14.193254297281456,20.904576159629404,0.05,0.9870015212880229,0.05
addresses,0.05000000032264161,0.05,0.05000000025085001,0.05,0.05,0.05,0.05,0.05,0.05000000049786696,1.0500000000119334,0.050000000096141486,0.05,0.05,0.05,0.050000000254105864,0.05000000029555311,4.049999998257921,0.05,0.05,0.05
adjoining,1.0499999962444662,0.05000000324899466,0.05,0.05,0.05,0.05,0.05000000049551327,0.05,0.05,0.05,4.049999997988224,0.05,0.05000000134984663,0.05,1.0499999999842489,0.05000000013464533,0.050000000525536416,0.05,0.05,0.05
admiration,2.1142775811726184,1.3467609034826196,0.05000000037013309,0.05000000003828966,0.05,0.05,2.295978337535734,0.050000000148084436,3.2725457952775527,1.1265736175933203,1.272815297454282,0.05,0.05,0.05,7.315433930824472,0.05000447234572121,11.655610063373748,0.05,0.05000000035105071,0.05
admission,0.05000000000525117,2.967607274073075,0.050000000627746975,0.05,0.05,0.05,0.05,0.05,0.6946122337654813,0.05,0.050000002099967016,0.05,0.05,1.044275408007065,1.646935526936419,0.05,4.89656955446081,0.05,0.05,0.05
admit,0.05000000383623405,0.05000000738376445,0.05,0.05,0.05,1.5425603924152311,1.0499999999900278,0.05,0.05,0.05,7.0620651698486645,0.05,0.05000000146385398,1.050000000097375,0.05000000229997557,0.050000000999531446,1.545374421614194,0.05,0.05,0.05
ado,0.08964029977162605,2.6347239374193285,0.05,0.05,0.05,0.05,0.05,0.05,0.050000005932503075,1.050000000045533,2.257529703594408,0.05,0.05,0.05,0.050000000608960746,0.05,4.218106052601381,0.05,0.05,0.05
advance,5.485955339611748,0.05000000262680897,1.3244954871365995,0.05,0.05,0.05,0.05,0.05000000003969031,0.08473033619873263,0.05,5.475319480883846,0.05,0.05,0.05,3.0804212642372235,0.05126483835175213,3.8478132508806344,0.05,0.05,0.05
advantage,7.951803057536532,3.4027950659481174,0.20657214705661314,1.0628619253358733,0.05,1.0500000001587897,0.628441222163462,0.05000000075015999,0.050000000742684174,2.8704212421205315,5.646127381756383,0.05,0.05,0.05,12.413135252171323,8.534908990158103,5.782933714069099,0.05,0.05,0.05
advantages,0.0562016008680559,0.05,2.0338317668960624,0.05,0.05,0.05,0.05,0.05,1.6576357077308117,0.05,1.0715429729422634,0.05,0.05,0.05,3.787454971274696,0.6933329727674156,0.05000000748672299,0.05,0.05,0.05
adventure,1.039181608677854,0.05,4.196124322315333,0.9510985371105185,0.05,0.0500000000027991,2.4172757769942383,0.05000001261173719,2.8677403608215832,1.396859856981311,4.0018598963518235,0.0500000012354875,0.05,0.05,4.9144241323231626,11.619211255643885,11.096224238576774,1.0500000003202308,0.05,0.05
adventures,1.4579683536198749,0.05,0.17094546395453358,0.05,0.05,0.05,1.7110277457842458,1.6560171376055237,1.8497949671244576,0.05000000014826589,2.323909257007962,0.05,0.05,0.05,13.09799603608004,1.3801328724645803,13.802208166176715,0.05,0.05,0.05
adversary,0.05000000172198409,2.9670919150875954,0.050000012947451315,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.132908069643234,0.05,0.05,0.05,0.05000000030156665,0.05000000034606891,2.049999999929875,0.05,0.05,0.05
advertisement,1.1588626414572427,0.05,0.05000000040214237,0.05,0.05,0.05,0.4170773387301688,0.05,0.44827981226744495,2.1572777022590617,0.11861203366730161,0.05,0.05,2.0434360275946832,2.4512524969197447,22.20951458997296,20.445687356703175,0.05,0.05,0.05
advertisements,0.05000000012055542,0.05,1.0500000000355372,0.05,0.05,0.05,0.05,0.05,0.05000000160242903,0.05,0.05000101907083304,0.05,0.05,1.049456154555599,0.20227488396902704,0.05054945548265514,4.897718485132545,0.05,0.05,0.05
advice,25.136939360759403,0.050000001096603935,0.0500000000833469,1.0555198646024408,0.05,0.05000000007597718,1.1043145139058936,0.050000000332715525,0.5844751729512492,2.531479466849468,8.002825493634889,0.05,0.05,0.05,22.18651051692727,5.935945571196029,12.911990037553823,0.05,0.05,0.05
